DATE,CSUSHPISA
2002-01-01,117.14399999999999
2002-02-01,117.845
2002-03-01,118.68700000000001
2002-04-01,119.611
2002-05-01,120.72399999999999
2002-06-01,121.81299999999999
2002-07-01,122.88799999999999
2002-08-01,123.83
2002-09-01,124.78
2002-10-01,125.735
2002-11-01,126.67
2002-12-01,127.624
2003-01-01,128.461
2003-02-01,129.355
2003-03-01,130.148
2003-04-01,130.884
2003-05-01,131.735
2003-06-01,132.649
2003-07-01,133.77700000000002
2003-08-01,134.969
2003-09-01,136.29399999999998
2003-10-01,137.531
2003-11-01,138.79399999999998
2003-12-01,140.179
2004-01-01,141.64600000000002
2004-02-01,143.192
2004-03-01,145.059
2004-04-01,146.593
2004-05-01,148.186
2004-06-01,149.85
2004-07-01,151.338
2004-08-01,152.63299999999998
2004-09-01,154.179
2004-10-01,155.75
2004-11-01,157.52700000000002
2004-12-01,159.33
2005-01-01,161.28799999999998
2005-02-01,163.344
2005-03-01,165.812
2005-04-01,167.50099999999998
2005-05-01,169.351
2005-06-01,171.19
2005-07-01,172.86
2005-08-01,174.442
2005-09-01,176.438
2005-10-01,178.028
2005-11-01,179.68
2005-12-01,180.91
2006-01-01,182.321
2006-02-01,183.287
2006-03-01,184.364
2006-04-01,184.329
2006-05-01,184.15599999999998
2006-06-01,183.507
2006-07-01,183.06799999999998
2006-08-01,182.59400000000002
2006-09-01,182.798
2006-10-01,183.19799999999998
2006-11-01,183.609
2006-12-01,184.139
2007-01-01,184.517
2007-02-01,184.59799999999998
2007-03-01,184.15
2007-04-01,183.01
2007-05-01,181.6
2007-06-01,180.25400000000002
2007-07-01,179.111
2007-08-01,178.11599999999999
2007-09-01,177.558
2007-10-01,176.62400000000002
2007-11-01,175.14700000000002
2007-12-01,174.342
2008-01-01,173.132
2008-02-01,171.541
2008-03-01,170.053
2008-04-01,168.338
2008-05-01,166.65900000000002
2008-06-01,165.017
2008-07-01,163.566
2008-08-01,161.987
2008-09-01,160.308
2008-10-01,158.327
2008-11-01,156.142
2008-12-01,153.619
2009-01-01,151.507
2009-02-01,150.015
2009-03-01,148.66
2009-04-01,147.94899999999998
2009-05-01,147.694
2009-06-01,148.09
2009-07-01,148.41
2009-08-01,148.278
2009-09-01,148.025
2009-10-01,147.85
2009-11-01,148.134
2009-12-01,147.929
2010-01-01,147.39600000000002
2010-02-01,145.631
