DATE,LFWA64TTUSM647S
2002-01-01,182566431.891724
2002-02-01,182798390.110259
2002-03-01,183078312.425159
2002-04-01,183260453.015323
2002-05-01,183508212.496981
2002-06-01,183669058.444073
2002-07-01,183886883.515181
2002-08-01,184159563.752198
2002-09-01,184422418.039234
2002-10-01,184554225.96952
2002-11-01,184744733.23744202
2002-12-01,184860046.150508
2003-01-01,185635346.37315002
2003-02-01,185869692.256356
2003-03-01,186085118.209936
2003-04-01,186470753.987361
2003-05-01,186649077.97267702
2003-06-01,186800679.576504
2003-07-01,187066500.33798298
2003-08-01,187304009.475925
2003-09-01,187538981.253475
2003-10-01,187738514.819484
2003-11-01,187972351.58827302
2003-12-01,188136094.87789
2004-01-01,187688839.482615
2004-02-01,187876003.023031
2004-03-01,188058175.618794
2004-04-01,188320660.933455
2004-05-01,188475226.058824
2004-06-01,188689296.34988898
2004-07-01,188839779.735266
2004-08-01,189070874.198522
2004-09-01,189216972.380313
2004-10-01,189444450.963992
2004-11-01,189655307.838414
2004-12-01,189811053.36688298
2005-01-01,189990144.46577498
2005-02-01,190144602.89026898
2005-03-01,190460726.509212
2005-04-01,190466075.803662
2005-05-01,190709890.602971
2005-06-01,190962474.634275
2005-07-01,191114389.968375
2005-08-01,191266452.871752
2005-09-01,191438220.909398
2005-10-01,191655197.459811
2005-11-01,191932856.777771
2005-12-01,192145684.546109
2006-01-01,192351175.11558202
2006-02-01,192542751.521493
2006-03-01,192688879.143996
2006-04-01,192814750.630729
2006-05-01,192912759.18521798
2006-06-01,193147767.04692298
2006-07-01,193315277.68087
2006-08-01,193456234.309971
2006-09-01,193556767.582028
2006-10-01,193703230.089313
2006-11-01,193949729.62242302
2006-12-01,194181587.897399
2007-01-01,194951758.751848
2007-02-01,195126741.73179302
2007-03-01,195232594.44513398
2007-04-01,195285473.944645
2007-05-01,195378957.753014
2007-06-01,195626531.991346
2007-07-01,195763504.072784
2007-08-01,195850812.920352
2007-09-01,195981075.168908
2007-10-01,196079324.765129
2007-11-01,196221924.559695
2007-12-01,196456046.63756302
2008-01-01,196086885.646281
2008-02-01,196234596.966847
2008-03-01,196399720.740184
2008-04-01,196185183.956292
2008-05-01,196465025.840138
2008-06-01,196572839.950144
2008-07-01,196675087.052917
2008-08-01,196811699.220529
2008-09-01,196983627.413106
2008-10-01,197148227.499098
2008-11-01,197282902.994639
2008-12-01,197450630.74704
2009-01-01,196957168.078512
2009-02-01,197130254.265795
2009-03-01,197296740.79632598
2009-04-01,197765218.550998
2009-05-01,197891891.901038
2009-06-01,197604115.283094
2009-07-01,197767457.71878
2009-08-01,198115216.55840102
2009-09-01,198362395.499829
2009-10-01,198618566.659451
2009-11-01,198613900.54709402
2009-12-01,198622777.171291
2010-01-01,198064131.621042
2010-02-01,198328300.957783
2010-03-01,198648956.056007
2010-04-01,199116837.453571
2010-05-01,199225487.91262698
2010-06-01,198999262.421882
2010-07-01,199105074.427268
2010-08-01,199360082.210574
2010-09-01,199591386.883824
2010-10-01,199860409.9584
2010-11-01,199933840.025682
2010-12-01,199961557.434899
2011-01-01,199070588.283022
2011-02-01,199328475.322804
2011-03-01,199524091.216163
2011-04-01,199950702.45863
2011-05-01,200048232.572712
2011-06-01,199917201.43496
2011-07-01,200019712.799292
2011-08-01,200121131.328388
2011-09-01,200261981.843865
2011-10-01,200456315.211364
2011-11-01,200414593.178849
2011-12-01,200418323.18193
2012-01-01,201012879.326228
2012-02-01,201108274.046387
2012-03-01,201199800.545114
2012-04-01,201473874.824689
2012-05-01,201512387.169875
2012-06-01,201442085.960376
2012-07-01,201434361.59993002
2012-08-01,201503946.658442
2012-09-01,201622437.000035
2012-10-01,201721747.344093
2012-11-01,201770072.04988402
2012-12-01,201889077.49231097
2013-01-01,201739926.713021
2013-02-01,201879587.833252
2013-03-01,202092974.71228802
2013-04-01,202114604.53795
2013-05-01,202300530.337311
2013-06-01,202335339.614864
2013-07-01,202343929.264849
2013-08-01,202433138.888136
2013-09-01,202607857.442801
2013-10-01,202635928.413109
2013-11-01,202701720.34911
2013-12-01,202726176.172807
2014-01-01,202493411.868639
2014-02-01,202561070.650782
2014-03-01,202693607.013295
2014-04-01,202799483.716883
2014-05-01,202923873.293004
2014-06-01,203093194.09441102
2014-07-01,203116450.81081802
2014-08-01,203209765.041602
2014-09-01,203253731.075518
2014-10-01,203283833.574695
2014-11-01,203371703.64192802
2014-12-01,203426054.88517302
2015-01-01,203882371.279071
2015-02-01,203937741.55820802
2015-03-01,204002981.996736
2015-04-01,204017514.634363
2015-05-01,204232987.717287
2015-06-01,204417752.572942
2015-07-01,204506088.881945
2015-08-01,204556122.755438
2015-09-01,204527761.662847
2015-10-01,204580177.077722
2015-11-01,204606894.69812602
2015-12-01,204720548.387829
2016-01-01,205109771.430019
2016-02-01,205162885.835179
2016-03-01,205294868.071864
2016-04-01,205241855.30181
2016-05-01,205444475.592398
2016-06-01,205611840.100965
2016-07-01,205721546.247137
2016-08-01,205719975.952004
2016-09-01,205746285.757389
2016-10-01,205823439.447656
2016-11-01,205811828.227144
2016-12-01,205949625.56747198
2017-01-01,205344403.837718
2017-02-01,205351513.930728
2017-03-01,205267918.37708
2017-04-01,205393193.929005
2017-05-01,205502426.80103898
2017-06-01,205687226.297763
2017-07-01,205738306.568501
2017-08-01,205719781.08453402
2017-09-01,205689659.650249
2017-10-01,205674728.188026
2017-11-01,205660685.323879
2017-12-01,205804333.906644
2018-01-01,206344543.075414
2018-02-01,206312186.569498
2018-03-01,206372831.658204
2018-04-01,206276661.888112
2018-05-01,206525473.357245
2018-06-01,206659173.823112
2018-07-01,206655624.781373
2018-08-01,206658042.804232
2018-09-01,206634780.35646102
2018-10-01,206625758.029937
2018-11-01,206649232.130241
2018-12-01,206768336.69479
2019-01-01,206195132.97697598
2019-02-01,206161240.463152
2019-03-01,206102863.946716
2019-04-01,206172550.777842
2019-05-01,206450917.997713
2019-06-01,206561471.831503
2019-07-01,206406247.33032
2019-08-01,206400190.485784
2019-09-01,206317795.986342
2019-10-01,206248793.258298
2019-11-01,206324586.903383
2019-12-01,206397971.567839
2020-01-01,205738360.634943
2020-02-01,205608674.614351
2020-03-01,205444401.983235
2020-04-01,206991879.72206402
2020-05-01,206806811.868266
2020-06-01,205516631.83436102
2020-07-01,205383291.36988702
2020-08-01,205756721.97144198
2020-09-01,206102392.89660498
2020-10-01,206062967.906825
2020-11-01,206157848.349687
2020-12-01,206072530.61728498
2021-01-01,204942957.947155
2021-02-01,204900632.51885098
2021-03-01,205013086.55691302
2021-04-01,205390470.988754
2021-05-01,205611509.05951402
2021-06-01,205376625.956331
2021-07-01,205344083.081467
2021-08-01,205334928.579499
2021-09-01,205452287.61356398
2021-10-01,205370913.422304
2021-11-01,205364326.70385203
2021-12-01,205320479.360096
2022-01-01,207106806.899557
