DATE,CSUSHPISA,Year,Month,GDP/capita,CPI,ROI,MAT_cost,New_house_supply,new_prop,Personal Income,Umemp Rate,Working_Population,Old_percent,Median_inc,Subsidies,No. of Households,Urban Population%
2002-01-01,117.144,2002,1,50091.0,142.0,1.73,142.0,4.2,1632.0,10514.7,5.7,182566431.891724,12.2874577893554,65820,24.183,109297.0,79.409
2002-02-01,117.845,2002,2,50156.0,142.2,1.74,142.2,4.0,1671.0,10531.6,5.7,182798390.110259,12.2874577893554,65820,24.183,109297.0,79.409
2002-03-01,118.687,2002,3,50221.0,143.2,1.73,143.2,4.1,1559.0,10539.0,5.7,183078312.425159,12.2874577893554,65820,24.183,109297.0,79.409
2002-04-01,119.611,2002,4,50286.0,143.5,1.75,143.5,4.3,1625.0,10574.2,5.9,183260453.015323,12.2874577893554,65820,24.183,109297.0,79.409
2002-05-01,120.724,2002,5,50311.333333333336,143.8,1.75,143.8,4.0,1705.0,10616.5,5.8,183508212.496981,12.2874577893554,65820,24.183,109297.0,79.409
2002-06-01,121.813,2002,6,50336.666666666664,144.3,1.75,144.3,4.2,1589.0,10648.2,5.8,183669058.444073,12.2874577893554,65820,24.183,109297.0,79.409
2002-07-01,122.888,2002,7,50362.0,144.7,1.73,144.7,4.2,1615.0,10621.0,5.8,183886883.515181,12.2874577893554,65820,24.183,109297.0,79.409
2002-08-01,123.83,2002,8,50342.0,145.1,1.74,145.1,4.0,1722.0,10623.0,5.7,184159563.752198,12.2874577893554,65820,24.183,109297.0,79.409
2002-09-01,124.78,2002,9,50322.0,145.4,1.75,145.4,3.9,1641.0,10633.6,5.7,184422418.039234,12.2874577893554,65820,24.183,109297.0,79.409
2002-10-01,125.735,2002,10,50302.0,145.0,1.75,145.0,4.0,1601.0,10661.8,5.7,184554225.96952,12.2874577893554,65820,24.183,109297.0,79.409
2002-11-01,126.67,2002,11,50355.333333333336,144.6,1.34,144.6,4.0,1718.0,10690.9,5.9,184744733.237442,12.2874577893554,65820,24.183,109297.0,79.409
2002-12-01,127.624,2002,12,50408.666666666664,144.3,1.24,144.3,4.0,1671.0,10719.9,6.0,184860046.150508,12.2874577893554,65820,24.183,109297.0,79.409
2003-01-01,128.461,2003,1,50462.0,144.4,1.24,144.4,4.0,1654.0,10710.4,5.8,185635346.37315,12.2779342993686,65860,25.93,111278.0,79.583
2003-02-01,129.355,2003,2,50573.333333333336,145.2,1.26,145.2,4.5,1688.0,10674.0,5.9,185869692.256356,12.2779342993686,65860,25.93,111278.0,79.583
2003-03-01,130.148,2003,3,50684.666666666664,145.2,1.25,145.2,4.1,1638.0,10696.5,5.9,186085118.209936,12.2779342993686,65860,25.93,111278.0,79.583
2003-04-01,130.884,2003,4,50796.0,145.9,1.26,145.9,4.1,1662.0,10752.7,6.0,186470753.987361,12.2779342993686,65860,25.93,111278.0,79.583
